startup_id,forecast_start_month,horizon_months,simulation_count,baseline_sharf_score,expected_sharf_score_6mo,p10_runway_months_6mo,p50_runway_months_6mo,p90_runway_months_6mo,probability_cashout_6mo,probability_critical_risk_6mo,probability_runway_under_6mo,monte_carlo_risk_label
ST001,2025-12-01,6,1000,63.3,57.3,10.74,13.63,17.54,0.0,0.091,0.0,Moderate forecast risk
ST002,2025-12-01,6,1000,37.0,36.1,0.0,0.0,0.0,1.0,1.0,1.0,High forecast risk
ST003,2025-12-01,6,1000,47.4,50.5,0.0,1.58,4.23,0.138,0.453,1.0,Moderate forecast risk
ST004,2025-12-01,6,1000,58.6,63.0,15.99,23.56,34.96,0.0,0.008,0.0,Lower forecast risk
ST005,2025-12-01,6,1000,52.1,48.5,0.0,0.0,0.0,1.0,0.636,1.0,High forecast risk
ST006,2025-12-01,6,1000,55.1,50.8,0.48,2.13,4.75,0.03,0.43,0.977,Moderate forecast risk
ST007,2025-12-01,6,1000,70.4,62.4,13.95,18.87,26.52,0.0,0.03,0.0,Lower forecast risk
ST008,2025-12-01,6,1000,42.3,42.8,0.0,0.0,0.0,1.0,0.958,1.0,High forecast risk
ST009,2025-12-01,6,1000,42.0,47.8,0.0,0.0,0.0,1.0,0.652,1.0,High forecast risk
ST010,2025-12-01,6,1000,54.8,58.7,28.79,37.18,47.6,0.0,0.034,0.0,Moderate forecast risk
ST011,2025-12-01,6,1000,47.0,46.9,0.0,0.0,0.0,0.96,0.807,1.0,High forecast risk
ST012,2025-12-01,6,1000,54.0,47.6,0.0,0.0,0.0,0.903,0.677,1.0,High forecast risk
ST013,2025-12-01,6,1000,35.9,43.2,0.0,0.0,0.0,1.0,0.895,1.0,High forecast risk
ST014,2025-12-01,6,1000,45.3,41.1,0.0,0.0,0.0,1.0,0.93,1.0,High forecast risk
ST015,2025-12-01,6,1000,44.9,46.4,0.0,0.0,0.0,1.0,0.749,1.0,High forecast risk
ST016,2025-12-01,6,1000,55.0,52.5,0.0,0.0,0.0,1.0,0.289,1.0,High forecast risk
ST017,2025-12-01,6,1000,87.5,68.6,5.98,9.68,15.72,0.0,0.005,0.102,Lower forecast risk
ST018,2025-12-01,6,1000,46.4,43.2,0.0,0.0,0.0,1.0,0.927,1.0,High forecast risk
