startup_id,month,monthly_revenue_usd,cash_balance_usd,monthly_burn_usd,monthly_churn_rate,customer_acquisition_cost_usd,sales_marketing_spend_usd,new_arr_usd,gross_margin,cac_payback_months,nps,headcount,avg_time_to_fill_days,macro_stress_index,runway_months,mom_revenue_growth,revenue_score,runway_score,retention_score,growth_efficiency_score,customer_sentiment_score,team_capacity_score,board_or_advisory_group,stage,industry,region,governance_score,sharf_score,risk_tier,burn_recommendation,fundraising_readiness,remediation_priority
ST001,2025-01-01,55365.47,1984351.66,69420.41,0.0661,5281.1,53474.91,28323.47,0.7321,10.94,-1,7,41,0.574,28.58,0.0,33.3,100.0,44.9,62.2,21.1,70.0,True,Series A,Edtech,US Northeast,100.0,63.6,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST001,2025-02-01,51826.31,1930730.49,62333.97,0.0511,4711.65,85934.74,3109.58,0.8439,9.05,2,7,51,0.592,30.97,-0.0639,6.7,100.0,57.4,71.2,24.4,55.7,True,Series A,Edtech,US Northeast,100.0,61.3,Watch,Hold spend and review runway,Prepare for outreach,Revenue growth
ST001,2025-03-01,52048.57,1871686.4,64730.45,0.0354,5160.58,41311.12,3122.91,0.759,10.97,-14,7,63,0.6,28.92,0.0043,35.1,100.0,70.5,62.0,6.7,38.6,True,Series A,Edtech,US Northeast,100.0,64.0,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST001,2025-04-01,51346.72,1805112.69,73039.94,0.0586,4357.47,24870.0,3080.8,0.7543,9.45,8,9,72,0.595,24.71,-0.0135,27.7,100.0,51.2,69.3,31.1,25.7,True,Series A,Edtech,US Northeast,100.0,62.0,Watch,Hold spend and review runway,Prepare for outreach,Team capacity
ST001,2025-05-01,56289.83,1737144.41,77552.5,0.0509,4159.47,22409.81,65027.74,0.7908,10.09,-11,9,49,0.58,22.4,0.0963,73.5,100.0,57.6,66.2,10.0,58.6,True,Series A,Edtech,US Northeast,100.0,71.4,Stable,Maintain planned spend,Prepare for outreach,Customer sentiment
ST001,2025-06-01,58162.07,1655506.85,88255.94,0.0661,4366.65,41651.64,23214.23,0.5694,14.24,-8,9,56,0.557,18.76,0.0333,47.2,100.0,44.9,46.5,13.3,48.6,True,Series A,Edtech,US Northeast,100.0,61.4,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST001,2025-07-01,57150.18,1586108.94,78913.46,0.06,4335.03,71216.28,3429.01,0.606,13.52,-3,9,82,0.532,20.1,-0.0174,26.1,100.0,50.0,49.9,18.9,11.4,True,Series A,Edtech,US Northeast,100.0,56.5,Watch,Hold spend and review runway,Delay and fix blockers,Team capacity
ST001,2025-08-01,58500.8,1505463.61,85321.17,0.0459,4500.77,85993.6,16590.36,0.9,9.23,5,8,50,0.512,17.64,0.0236,43.2,97.6,61.7,70.3,27.8,57.1,True,Series A,Edtech,US Northeast,100.0,68.3,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST001,2025-09-01,62467.97,1432749.69,77915.97,0.0483,5142.23,63746.46,50834.51,0.7036,11.23,-10,8,63,0.501,18.39,0.0678,61.6,100.0,59.8,60.8,11.1,38.6,True,Series A,Edtech,US Northeast,100.0,67.4,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST001,2025-10-01,68928.26,1369035.02,71810.4,0.076,5017.8,56963.01,85540.74,0.7071,9.88,4,8,79,0.502,19.06,0.1034,76.4,100.0,36.7,67.2,26.7,15.7,True,Series A,Edtech,US Northeast,100.0,67.0,Watch,Maintain planned spend,Prepare for outreach,Team capacity
ST001,2025-11-01,70755.93,1304048.9,69653.08,0.0861,4801.66,72934.81,22513.52,0.7093,9.18,-10,8,50,0.515,18.72,0.0265,44.4,100.0,28.2,70.6,11.1,57.1,True,Series A,Edtech,US Northeast,100.0,62.1,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST001,2025-12-01,74407.68,1237565.86,71595.34,0.064,5679.76,93830.72,46082.66,0.7472,9.81,-17,8,61,0.536,17.29,0.0516,54.8,95.3,46.7,67.6,3.3,41.4,True,Series A,Edtech,US Northeast,100.0,63.3,Watch,Maintain planned spend,Prepare for outreach,Customer sentiment
ST002,2025-01-01,41202.86,646669.03,83380.58,0.0528,6431.74,133276.9,20144.8,0.7276,23.17,10,9,57,0.574,7.76,0.0,33.3,31.7,56.0,4.0,33.3,47.1,True,Series A,Climate,US South,100.0,40.2,Critical,Hold spend and review runway,Delay and fix blockers,Growth efficiency
ST002,2025-02-01,43204.9,571032.27,80151.02,0.0821,6732.94,125731.78,25191.87,0.6717,25.05,1,9,47,0.592,7.12,0.0486,53.6,27.5,31.6,0.0,23.3,61.4,True,Series A,Climate,US South,100.0,38.5,Critical,Hold spend and review runway,Delay and fix blockers,Growth efficiency
ST002,2025-03-01,45631.15,487062.88,90977.71,0.0118,5613.21,110869.59,30749.91,0.655,20.28,30,9,48,0.6,5.35,0.0562,56.8,15.7,90.2,17.7,55.6,60.0,True,Series A,Climate,US South,100.0,51.3,Watch,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-04-01,45203.17,409974.28,82016.04,0.0792,4993.34,94282.59,2712.19,0.6523,18.29,34,10,40,0.595,5.0,-0.0094,29.4,13.3,34.0,27.2,60.0,71.4,True,Series A,Climate,US South,100.0,39.4,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-05-01,47815.19,309003.05,104256.29,0.0556,5936.79,45187.48,33155.4,0.7099,20.99,2,10,51,0.58,2.96,0.0578,57.4,0.0,53.7,14.3,24.4,55.7,True,Series A,Climate,US South,100.0,37.8,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-06-01,48990.35,220763.8,94453.61,0.0607,5777.41,78439.57,14448.47,0.7681,18.42,12,10,45,0.557,2.34,0.0246,43.6,0.0,49.4,26.6,35.6,64.3,True,Series A,Climate,US South,100.0,38.2,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-07-01,51777.19,137122.77,90074.87,0.0497,5265.99,100942.71,35344.5,0.651,18.75,15,10,59,0.532,1.52,0.0569,57.0,0.0,58.6,25.0,38.9,44.3,True,Series A,Climate,US South,100.0,40.6,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-08-01,48863.49,52253.94,93534.49,0.0425,5825.72,106278.19,2931.81,0.7442,19.22,8,11,50,0.512,0.56,-0.0563,9.9,0.0,64.6,22.8,31.1,57.1,True,Series A,Climate,US South,100.0,33.0,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-09-01,51217.7,0.0,106857.05,0.047,5840.72,76653.09,29611.61,0.7102,21.19,15,11,74,0.501,0.0,0.0482,53.4,0.0,60.8,13.4,38.9,22.9,True,Series A,Climate,US South,100.0,36.9,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-10-01,48934.21,0.0,103154.56,0.0332,5494.22,113059.63,2936.05,0.844,17.56,24,11,67,0.502,0.0,-0.0446,14.8,0.0,72.3,30.7,48.9,32.9,True,Series A,Climate,US South,100.0,36.1,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-11-01,52056.12,0.0,107688.38,0.0391,5718.02,100026.42,39853.01,0.6842,21.19,3,11,63,0.515,0.0,0.0638,59.9,0.0,67.4,13.4,25.6,38.6,True,Series A,Climate,US South,100.0,39.1,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST002,2025-12-01,53563.28,0.0,107013.35,0.0563,4822.05,102714.32,18609.54,0.7346,16.18,8,11,72,0.536,0.0,0.029,45.4,0.0,53.1,37.2,31.1,25.7,True,Series A,Climate,US South,100.0,37.0,Critical,Reduce burn immediately,Delay and fix blockers,Runway
ST003,2025-01-01,70845.24,678231.7,71274.79,0.0479,2362.77,31582.16,59465.3,0.7731,4.14,18,8,42,0.574,9.52,0.0,33.3,43.5,60.1,94.6,42.2,68.6,False,Seed,Edtech,US Northeast,45.0,53.5,Watch,Hold spend and review runway,Delay and fix blockers,Revenue growth
ST003,2025-02-01,76874.65,629530.92,59119.0,0.0552,2013.63,21489.13,78510.61,0.8051,3.12,36,8,52,0.592,10.65,0.0851,68.8,51.0,54.0,99.4,62.2,54.3,False,Seed,Edtech,US Northeast,45.0,62.2,Watch,Hold spend and review runway,Prepare for outreach,Governance
ST003,2025-03-01,82055.68,575012.85,60302.14,0.0492,2879.55,33162.17,66362.47,0.6553,5.14,46,8,41,0.6,9.54,0.0674,61.4,43.6,59.0,89.8,73.3,70.0,False,Seed,Edtech,US Northeast,45.0,61.0,Watch,Hold spend and review runway,Prepare for outreach,Runway
